step,source,val/pass@1,val/avg@1,val/math500_first50/pass@1,val/aime24/pass@1,val/aime25/pass@1,episode/reward/mean,graphcredit/node_reward_mean,graphcredit/solver_node_reward_mean,graphcredit/verifier_node_reward_mean,critic/Qwen3-4B_Solver Agent/rewards/mean,critic/Qwen3-4B_Verifier Agent/rewards/mean,response_length/mean,prompt_length/mean,perf/throughput,perf/time_per_step
340,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.75,0.188,0.255,0.12,0.255,0.12,877.609,1244.422,334.901,50.69
341,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.217,0.096,0.217,0.096,889.188,1211.609,352.08,47.735
342,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.188,0.047,0.062,0.032,0.062,0.032,1065.266,1288.609,364.709,51.633
343,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.172,0.078,0.172,0.078,679.625,853.859,343.328,35.732
344,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.375,0.094,0.131,0.057,0.124,0.057,943.609,1033.547,277.709,56.956
345,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.227,0.085,0.227,0.085,650.25,800.688,274.269,42.322
346,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.375,0.094,0.126,0.061,0.126,0.061,881.203,1087.781,322.799,48.798
347,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.201,0.08,0.201,0.08,853.844,1403.781,336.372,53.694
348,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.16,0.059,0.154,0.059,1065.594,1524.0,391.03,52.98
349,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.202,0.08,0.192,0.08,1102.281,1441.281,322.783,63.041
350,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,0.536,0.536,0.9,0.233,0.233,0.5,0.125,0.175,0.075,0.175,0.075,749.938,881.797,24.9,524.256
351,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.062,0.016,0.02,0.011,0.014,0.011,1047.484,1780.875,425.697,53.153
352,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.192,0.089,0.183,0.089,1019.75,1462.375,314.502,63.138
353,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.75,0.188,0.258,0.117,0.245,0.117,1064.297,1381.484,391.783,49.942
354,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.75,0.188,0.272,0.103,0.272,0.103,1028.594,1084.938,467.06,36.201
355,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.75,0.188,0.269,0.106,0.265,0.106,663.812,982.125,288.83,45.589
356,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.225,0.087,0.213,0.087,1054.422,1424.062,334.912,59.203
357,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.174,0.076,0.174,0.076,938.031,1407.219,351.624,53.358
358,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.208,0.073,0.192,0.073,1086.969,1533.641,342.123,61.279
359,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.182,0.068,0.176,0.068,866.422,1048.281,256.505,59.717
360,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.375,0.094,0.124,0.063,0.112,0.063,1015.5,1905.516,461.141,50.675
361,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.688,0.172,0.254,0.09,0.251,0.09,799.938,1273.0,343.756,48.242
362,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.211,0.07,0.193,0.07,1090.484,1958.844,431.182,56.576
363,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.75,0.188,0.288,0.087,0.269,0.087,1089.688,1718.953,349.967,64.204
364,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.147,0.072,0.138,0.072,1076.172,1560.266,348.234,60.567
365,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.196,0.085,0.178,0.085,1019.234,1415.891,288.566,67.51
366,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.75,0.188,0.272,0.103,0.269,0.103,759.75,1161.062,307.651,49.948
367,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.233,0.079,0.221,0.079,940.672,1150.984,360.964,46.357
368,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.25,0.062,0.088,0.037,0.088,0.037,811.047,1002.016,304.952,47.563
369,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.213,0.1,0.2,0.1,1336.266,1776.281,393.998,63.199
370,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.228,0.085,0.221,0.085,854.016,1158.781,309.849,51.968
371,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.375,0.094,0.126,0.061,0.114,0.061,1195.688,1931.922,413.424,60.521
372,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.75,0.188,0.268,0.107,0.258,0.107,981.641,1421.75,347.472,55.334
373,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.189,0.061,0.173,0.061,1148.141,1560.078,374.685,57.824
374,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.375,0.094,0.128,0.059,0.122,0.059,1044.859,1228.922,318.405,57.129
375,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.215,0.097,0.212,0.097,967.734,1371.344,295.388,63.349
376,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.75,0.188,0.257,0.118,0.257,0.118,1011.562,1250.266,361.73,50.023
377,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.688,0.172,0.245,0.099,0.245,0.099,874.875,893.188,443.843,31.868
378,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.25,0.062,0.089,0.036,0.089,0.036,669.312,888.719,320.343,38.909
379,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.233,0.079,0.233,0.079,968.859,1312.609,308.327,59.196
380,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.196,0.086,0.193,0.086,825.016,1064.0,293.37,51.512
381,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.212,0.1,0.194,0.1,980.328,1401.172,289.561,65.796
382,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.223,0.09,0.223,0.09,559.672,803.406,368.796,29.568
383,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.169,0.081,0.169,0.081,907.672,1168.078,393.13,42.24
384,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.688,0.172,0.241,0.103,0.235,0.103,987.016,1100.656,276.809,60.335
385,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.21,0.071,0.21,0.071,705.969,768.047,288.392,40.889
386,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.375,0.094,0.129,0.059,0.129,0.059,861.688,1168.812,353.988,45.889
387,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.688,0.172,0.23,0.114,0.22,0.114,889.203,1107.609,253.727,62.959
388,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.24,0.072,0.234,0.072,951.828,1578.172,347.259,58.285
389,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.375,0.094,0.128,0.06,0.122,0.06,1031.297,1556.062,339.926,60.892
390,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.812,0.203,0.287,0.119,0.287,0.113,937.859,1289.375,410.02,43.456
391,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.688,0.172,0.234,0.109,0.228,0.109,906.844,1420.062,291.08,63.952
392,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.182,0.068,0.175,0.068,972.359,1144.688,292.482,57.906
393,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.19,0.091,0.19,0.091,1015.969,1369.656,388.091,49.177
394,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.216,0.097,0.216,0.097,767.781,1128.812,361.512,41.97
395,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.688,0.172,0.244,0.099,0.244,0.099,780.0,869.031,359.812,36.664
396,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.688,0.172,0.252,0.092,0.252,0.085,894.156,1259.531,347.783,49.541
397,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.178,0.072,0.175,0.072,909.344,1352.625,314.076,57.616
398,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.688,0.172,0.248,0.096,0.236,0.096,1063.391,1344.281,295.766,65.124
399,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.75,0.188,0.276,0.099,0.276,0.099,615.719,721.562,445.897,23.993
400,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,0.564,0.564,0.84,0.4,0.267,0.438,0.109,0.151,0.068,0.148,0.068,841.156,1278.125,30.36,558.432
401,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.161,0.058,0.161,0.058,1048.469,1226.922,418.087,43.539
402,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.169,0.05,0.156,0.05,1185.891,1680.109,433.604,52.878
403,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.312,0.078,0.118,0.038,0.112,0.038,1220.078,1655.781,436.901,52.659
404,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.938,0.234,0.323,0.146,0.323,0.146,741.391,988.125,347.332,39.835
405,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.312,0.078,0.12,0.036,0.108,0.036,1073.188,1453.266,395.534,51.1
406,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.157,0.061,0.145,0.061,1179.594,1718.203,417.023,55.59
407,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.152,0.067,0.133,0.067,1207.75,1610.344,375.673,60.012
408,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.226,0.086,0.201,0.086,1064.688,1577.641,398.473,53.049
409,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.144,0.075,0.131,0.075,1032.984,1625.766,417.63,50.93
410,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.688,0.172,0.245,0.098,0.239,0.098,789.938,1028.75,310.183,46.906
411,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.179,0.071,0.169,0.071,1009.516,1537.344,360.995,56.441
412,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.177,0.042,0.158,0.042,1326.469,1858.094,381.233,66.827
413,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.188,0.062,0.169,0.056,1269.688,2056.656,467.618,56.907
414,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.219,0.094,0.213,0.094,999.438,1115.875,448.81,37.705
415,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.875,0.219,0.319,0.118,0.307,0.118,1209.016,1745.484,406.693,58.118
416,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.214,0.098,0.202,0.098,1192.219,1799.547,423.267,56.546
417,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.235,0.077,0.217,0.077,1183.219,1879.812,439.247,55.787
418,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.75,0.188,0.267,0.108,0.245,0.108,1225.938,1648.562,401.53,57.271
419,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.812,0.203,0.303,0.103,0.284,0.103,978.141,1783.203,438.805,50.343
420,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.222,0.09,0.222,0.09,965.828,1109.75,376.101,44.149
421,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.812,0.203,0.286,0.12,0.28,0.12,1003.438,1305.422,399.211,46.268
422,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.188,0.047,0.061,0.033,0.036,0.033,1234.234,2184.125,428.711,63.789
423,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.875,0.219,0.304,0.134,0.304,0.134,937.172,1117.047,327.669,50.154
424,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.185,0.065,0.166,0.065,1113.656,1426.719,418.241,48.592
425,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.211,0.101,0.205,0.101,970.094,1523.859,406.687,49.059
426,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.171,0.079,0.165,0.079,957.688,1484.875,397.674,49.137
427,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.688,0.172,0.236,0.108,0.236,0.108,950.719,1152.969,328.465,51.237
428,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.175,0.075,0.169,0.075,1037.094,1314.453,362.753,51.86
429,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.19,0.091,0.168,0.091,1133.922,1651.672,348.588,63.929
430,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.938,0.234,0.334,0.135,0.334,0.135,842.062,922.0,503.831,28.01
431,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.201,0.08,0.186,0.08,1223.938,1925.219,485.927,51.846
432,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.166,0.052,0.138,0.052,1511.141,2081.891,463.481,62.018
433,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.161,0.058,0.142,0.058,1434.141,2175.125,516.375,55.917
434,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.875,0.219,0.307,0.13,0.295,0.124,1041.781,1429.859,393.78,50.214
435,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.215,0.097,0.206,0.097,1187.359,1753.141,454.804,51.723
436,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.375,0.094,0.128,0.06,0.1,0.06,1325.656,2159.938,507.459,54.95
437,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.375,0.094,0.13,0.057,0.115,0.057,956.844,1426.047,352.464,54.085
438,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.222,0.091,0.197,0.091,1120.203,1882.031,441.907,54.351
439,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.212,0.069,0.184,0.063,1295.453,2065.859,473.302,56.815
440,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.233,0.08,0.214,0.08,1074.828,2268.828,516.759,51.763
441,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.214,0.099,0.211,0.099,975.531,1474.375,383.197,51.147
442,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.186,0.064,0.145,0.064,1497.219,2603.828,638.215,51.406
443,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.75,0.188,0.258,0.117,0.233,0.117,1151.516,1661.281,421.41,53.398
444,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.231,0.081,0.212,0.081,1325.781,1730.25,510.326,47.907
445,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.312,0.078,0.102,0.054,0.068,0.054,1404.641,2215.5,563.266,51.416
446,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.179,0.071,0.166,0.071,1360.031,1995.781,511.98,52.437
447,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.169,0.081,0.147,0.081,1289.516,2392.75,515.07,57.192
448,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.224,0.089,0.205,0.089,1136.625,1652.953,442.488,50.434
449,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.812,0.203,0.283,0.123,0.261,0.123,1160.859,1873.203,480.452,50.52
450,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,0.545,0.545,0.84,0.333,0.267,0.312,0.078,0.105,0.051,0.083,0.051,1201.922,1727.766,40.997,571.694
451,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.2,0.082,0.184,0.082,1304.766,1831.172,503.289,49.847
452,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.24,0.072,0.218,0.072,1168.688,1872.656,457.96,53.129
453,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.312,0.078,0.118,0.038,0.096,0.032,1114.125,1901.844,441.913,54.598
454,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.875,0.219,0.325,0.112,0.3,0.112,1147.453,1875.141,473.581,51.059
455,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.152,0.067,0.133,0.067,1340.922,1807.156,472.658,53.283
456,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.208,0.073,0.186,0.073,1242.297,2013.156,427.309,60.948
457,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.812,0.203,0.273,0.134,0.273,0.134,823.859,1312.172,397.22,43.02
458,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.18,0.07,0.177,0.063,993.078,1378.547,402.638,47.122
459,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.688,0.172,0.247,0.097,0.247,0.097,845.25,1124.328,303.903,51.848
460,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.204,0.077,0.185,0.077,1037.312,1313.422,382.522,49.163
461,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.196,0.085,0.196,0.085,955.484,1181.016,360.229,47.448
462,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.217,0.095,0.214,0.095,866.344,1276.016,327.699,52.301
463,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.206,0.075,0.203,0.075,837.891,1466.797,349.496,52.755
464,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.217,0.064,0.217,0.064,916.922,1184.797,345.818,48.62
465,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.75,0.188,0.27,0.105,0.27,0.105,819.594,939.562,335.72,41.92
466,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.198,0.083,0.195,0.083,890.484,1394.625,337.256,54.205
467,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.375,0.094,0.132,0.055,0.132,0.055,666.531,843.172,265.359,45.514
468,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.214,0.098,0.214,0.098,691.625,876.578,267.661,46.871
469,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.75,0.188,0.278,0.097,0.275,0.097,923.938,1296.859,380.94,46.638
470,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.181,0.069,0.172,0.069,1023.688,1460.875,424.988,46.77
471,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.688,0.172,0.24,0.104,0.237,0.104,723.922,1087.234,293.921,49.296
472,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.227,0.086,0.227,0.086,658.891,898.156,272.382,45.731
473,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.812,0.203,0.293,0.114,0.289,0.114,711.594,1021.906,281.876,49.199
474,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.213,0.1,0.207,0.1,688.422,1137.75,285.28,51.211
475,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.688,0.172,0.246,0.098,0.246,0.098,574.422,881.062,347.438,33.513
476,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.223,0.089,0.211,0.089,930.906,1279.0,349.345,50.607
477,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.189,0.092,0.186,0.092,770.203,1219.375,321.383,49.525
478,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.312,0.078,0.104,0.052,0.086,0.052,1277.422,1768.438,473.982,51.409
479,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.188,0.062,0.182,0.062,769.0,1014.047,278.95,51.136
480,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.688,0.172,0.241,0.103,0.225,0.103,992.297,1535.531,398.037,50.806
481,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.174,0.076,0.174,0.076,528.344,740.984,353.055,28.762
482,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.216,0.097,0.21,0.097,631.203,932.391,278.664,44.888
483,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.174,0.076,0.167,0.076,765.312,1281.0,317.947,51.488
484,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.171,0.079,0.171,0.079,600.656,808.219,332.947,33.852
485,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.182,0.068,0.175,0.068,876.391,1112.25,297.629,53.453
486,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.148,0.071,0.142,0.071,791.016,1195.953,348.126,45.661
487,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.25,0.062,0.082,0.043,0.07,0.043,1106.828,1745.359,446.177,51.14
488,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.192,0.089,0.192,0.089,782.875,1136.734,331.075,46.385
489,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.75,0.188,0.263,0.112,0.263,0.112,577.578,754.703,272.337,39.136
490,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.75,0.188,0.26,0.115,0.254,0.115,729.078,1083.547,292.878,49.512
491,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.75,0.188,0.275,0.1,0.275,0.1,711.594,875.188,323.171,39.28
492,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.161,0.058,0.161,0.058,567.922,751.828,284.861,37.064
493,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.174,0.076,0.168,0.076,900.141,1149.078,362.002,45.286
494,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.148,0.071,0.136,0.071,1062.156,1398.672,398.209,49.438
495,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.312,0.078,0.104,0.052,0.089,0.052,954.516,1563.781,396.089,50.863
496,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.688,0.172,0.243,0.101,0.243,0.101,1018.641,1116.891,366.818,46.574
497,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.15,0.068,0.135,0.068,938.281,1473.688,397.802,48.506
498,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.155,0.064,0.149,0.064,1090.859,1429.484,394.329,51.132
499,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.688,0.172,0.242,0.102,0.242,0.102,665.562,901.859,324.667,38.622
500,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,0.582,0.582,0.86,0.333,0.367,0.562,0.141,0.201,0.081,0.194,0.081,867.969,1238.812,33.854,497.852
501,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.216,0.096,0.207,0.096,815.75,1272.047,331.171,50.434
502,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.175,0.075,0.175,0.075,712.906,893.781,321.632,39.963
503,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.181,0.069,0.178,0.069,785.906,1153.156,344.303,45.055
504,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.75,0.188,0.269,0.106,0.263,0.106,752.953,1098.844,334.794,44.249
505,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.19,0.06,0.178,0.06,1108.672,1470.875,431.248,47.853
506,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.312,0.078,0.106,0.05,0.106,0.05,862.938,1316.984,380.095,45.882
507,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.155,0.064,0.145,0.064,955.438,1528.406,344.062,57.753
508,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.688,0.172,0.241,0.102,0.241,0.102,617.375,792.719,260.465,43.31
509,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.25,0.062,0.086,0.039,0.083,0.039,784.062,1150.625,322.522,47.989
510,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.214,0.099,0.214,0.099,655.094,857.0,360.16,33.587
